player_id,player_name,position,team,preseason_rank_overall,preseason_rank_position,preseason_adp,tier
7564,Ja'Marr Chase,WR,CIN,1,1,1.0,1
9509,Bijan Robinson,RB,ATL,2,1,2.0,1
6786,CeeDee Lamb,WR,DAL,3,2,3.0,1
4866,Saquon Barkley,RB,PHI,4,2,4.0,1
9221,Jahmyr Gibbs,RB,DET,5,3,5.0,1
7547,Amon-Ra St. Brown,WR,DET,6,3,6.0,1
6794,Justin Jefferson,WR,MIN,7,4,7.0,1
7569,Nico Collins,WR,HOU,8,5,8.0,1
12527,Ashton Jeanty,RB,LV,9,4,9.0,1
9493,Puka Nacua,WR,LAR,10,6,10.0,1
11632,Malik Nabers,WR,NYG,11,7,11.0,1
4034,Christian McCaffrey,RB,SF,12,5,12.0,1
8112,Drake London,WR,ATL,13,8,13.0,2
11631,Brian Thomas,WR,JAX,14,9,14.0,2
3198,Derrick Henry,RB,BAL,15,6,15.0,2
9224,Chase Brown,RB,CIN,16,7,16.0,2
5850,Josh Jacobs,RB,GB,17,8,17.0,2
11604,Brock Bowers,TE,LV,18,1,18.0,2
4984,Josh Allen,QB,BUF,19,1,19.0,2
5859,A.J. Brown,WR,PHI,20,10,20.0,2
9226,De'Von Achane,RB,MIA,21,9,21.0,2
11584,Bucky Irving,RB,TB,22,10,22.0,2
6813,Jonathan Taylor,RB,IND,23,11,23.0,2
11635,Ladd McConkey,WR,LAC,24,11,24.0,2
8130,Trey McBride,TE,ARI,25,2,25.0,3
3321,Tyreek Hill,WR,MIA,26,12,26.0,3
8150,Kyren Williams,RB,LAR,27,12,27.0,3
4881,Lamar Jackson,QB,BAL,28,2,28.0,3
6801,Tee Higgins,WR,CIN,29,13,29.0,3
9488,Jaxon Smith-Njigba,WR,SEA,30,14,30.0,3
11566,Jayden Daniels,QB,WAS,31,3,31.0,3
8138,James Cook,RB,BUF,32,13,32.0,3
11628,Marvin Harrison,WR,ARI,33,15,33.0,3
8146,Garrett Wilson,WR,NYJ,34,16,34.0,3
4035,Alvin Kamara,RB,NO,35,14,35.0,3
4217,George Kittle,TE,SF,36,3,36.0,3
12507,Omarion Hampton,RB,LAC,37,15,37.0,4
10859,Sam LaPorta,TE,DET,38,4,38.0,4
8155,Breece Hall,RB,NYJ,39,16,39.0,4
2216,Mike Evans,WR,TB,40,17,40.0,4
2133,Davante Adams,WR,LAR,41,18,41.0,4
5927,Terry McLaurin,WR,WAS,42,19,42.0,4
5892,David Montgomery,RB,DET,43,17,43.0,4
6904,Jalen Hurts,QB,PHI,44,4,44.0,4
5846,DK Metcalf,WR,PIT,45,20,45.0,4
6770,Joe Burrow,QB,CIN,46,5,46.0,4
4983,DJ Moore,WR,CHI,47,21,47.0,4
8151,Kenneth Walker,RB,SEA,48,18,48.0,4
5045,Courtland Sutton,WR,DEN,49,22,49.0,4
4046,Patrick Mahomes,QB,KC,50,6,50.0,4
7525,DeVonta Smith,WR,PHI,51,23,51.0,4
4137,James Conner,RB,ARI,52,19,52.0,4
7594,Chuba Hubbard,RB,CAR,53,20,53.0,4
9997,Zay Flowers,WR,BAL,54,24,54.0,4
12529,TreVeyon Henderson,RB,NE,55,21,55.0,4
10229,Rashee Rice,WR,KC,56,25,56.0,4
5844,T.J. Hockenson,TE,MIN,57,5,57.0,4
12489,RJ Harvey,RB,DEN,58,22,58.0,4
11624,Xavier Worthy,WR,KC,59,26,59.0,4
8148,Jameson Williams,WR,DET,60,27,60.0,4
4981,Calvin Ridley,WR,TEN,61,28,61.0,5
5967,Tony Pollard,RB,TEN,62,23,62.0,5
8205,Isiah Pacheco,RB,KC,63,24,63.0,5
12530,Travis Hunter,WR,JAX,64,29,64.0,5
4199,Aaron Jones,RB,MIN,65,25,65.0,5
6790,D'Andre Swift,RB,CHI,66,26,66.0,5
5012,Mark Andrews,TE,BAL,67,6,67.0,5
12526,Tetairoa McMillan,WR,CAR,68,30,68.0,5
8137,George Pickens,WR,DAL,69,31,69.0,5
1466,Travis Kelce,TE,KC,70,7,70.0,5
7526,Jaylen Waddle,WR,MIA,71,32,71.0,5
4892,Baker Mayfield,QB,TB,72,7,72.0,5
8228,Jaylen Warren,RB,PIT,73,27,73.0,5
11655,Tyrone Tracy,RB,NYG,74,28,74.0,5
12501,Matthew Golden,WR,GB,75,33,75.0,5
5872,Deebo Samuel,WR,WAS,76,34,76.0,5
6783,Jerry Jeudy,WR,CLE,77,35,77.0,5
12512,Quinshon Judkins,RB,CLE,78,29,78.0,5
11563,Bo Nix,QB,DEN,79,8,79.0,5
4033,David Njoku,TE,CLE,80,8,80.0,5
12504,Kaleb Johnson,RB,PIT,81,30,81.0,5
8144,Chris Olave,WR,NO,82,36,82.0,5
11620,Rome Odunze,WR,CHI,83,37,83.0,5
9753,Zach Charbonnet,RB,SEA,84,31,84.0,5
12514,Emeka Egbuka,WR,TB,85,38,85.0,5
5947,Jakobi Meyers,WR,LV,86,39,86.0,5
9756,Jordan Addison,WR,MIN,87,40,87.0,5
3294,Dak Prescott,QB,DAL,88,9,88.0,5
3163,Jared Goff,QB,DET,89,10,89.0,5
2449,Stefon Diggs,WR,NE,90,41,90.0,5
8154,Brian Robinson,RB,SF,91,32,91.0,5
12481,Cam Skattebo,RB,NYG,92,33,92.0,5
4066,Evan Engram,TE,DEN,93,9,93.0,5
7543,Travis Etienne,RB,JAX,94,34,94.0,5
4039,Cooper Kupp,WR,SEA,95,42,95.0,5
8408,Jordan Mason,RB,MIN,96,35,96.0,5
7588,Javonte Williams,RB,DAL,97,36,97.0,5
12518,Tyler Warren,TE,IND,98,10,98.0,5
4037,Chris Godwin,WR,TB,99,43,99.0,5
5849,Kyler Murray,QB,ARI,100,11,100.0,5
12517,Colston Loveland,TE,CHI,101,11,101.0,5
8134,Khalil Shakir,WR,BUF,102,44,102.0,5
11638,Ricky Pearsall,WR,SF,104,45,104.0,5
6806,J.K. Dobbins,RB,DEN,105,37,105.0,5
6797,Justin Herbert,QB,LAC,107,12,107.0,5
6819,Michael Pittman,WR,IND,108,46,108.0,5
12533,Jacory Croskey-Merritt,RB,WAS,109,38,109.0,5
4988,Nick Chubb,RB,HOU,110,39,110.0,5
7049,Jauan Jennings,WR,SF,112,47,112.0,5
8183,Brock Purdy,QB,SF,113,13,113.0,5
9484,Tucker Kraft,TE,GB,114,12,114.0,5
12484,Jayden Higgins,WR,HOU,116,48,116.0,5
7553,Kyle Pitts,TE,ATL,117,13,117.0,5
6803,Brandon Aiyuk,WR,SF,118,49,118.0,5
9500,Josh Downs,WR,IND,119,50,119.0,5
9225,Tank Bigsby,RB,JAX,120,40,120.0,5
11576,Braelon Allen,RB,NYJ,121,41,121.0,5
4018,Joe Mixon,RB,HOU,122,42,122.0,5
12519,Luther Burden,WR,CHI,123,51,123.0,5
12509,Tre' Harris,WR,LAC,125,52,125.0,5
10236,Dalton Kincaid,TE,BUF,126,14,126.0,5
11637,Keon Coleman,WR,BUF,127,53,127.0,5
8110,Jake Ferguson,TE,DAL,128,15,128.0,5
4663,Austin Ekeler,RB,WAS,129,43,129.0,5
10222,Jayden Reed,WR,GB,130,54,130.0,5
4144,Jonnu Smith,TE,PIT,131,16,131.0,5
11564,Drake Maye,QB,NE,132,14,132.0,5
9758,C.J. Stroud,QB,HOU,133,15,133.0,5
12522,Cam Ward,QB,TEN,134,16,134.0,5
8676,Rashid Shaheed,WR,NO,135,55,135.0,5
6804,Jordan Love,QB,GB,136,17,136.0,5
12490,Bhayshul Tuten,RB,JAX,137,44,137.0,5
7611,Rhamondre Stevenson,RB,NE,141,45,141.0,5
1479,Keenan Allen,WR,LAC,142,56,142.0,5
11560,Caleb Williams,QB,CHI,143,18,143.0,5
10444,Cedric Tillman,WR,CLE,144,57,144.0,5
7090,Darnell Mooney,WR,ATL,148,58,148.0,5
12457,Jaydon Blue,RB,DAL,149,46,149.0,5
7528,Najee Harris,RB,LAC,150,47,150.0,5
12495,Ollie Gordon,RB,MIA,151,48,151.0,5
5022,Dallas Goedert,TE,PHI,154,17,154.0,5
11565,J.J. McCarthy,QB,MIN,159,19,159.0,5
1689,Adam Thielen,WR,MIN,162,59,162.0,5
9494,Marvin Mims,WR,DEN,163,60,163.0,5
